DataContainerAsset 67B0E29F-3AC7-4AAF-83CC-D2F1F29269FA #primary instance
    $::Asset
        $::DataContainer
        Name Weapons/Common/ZoomLevels/FastIronSights
    Data 50887762-21DF-42F5-9740-ECDBCEECC3B4
ZoomLevelData 50887762-21DF-42F5-9740-ECDBCEECC3B4
    $::DataContainer
    FieldOfView 40.0
    AllowFieldOfViewScaling False
    LookSpeedMultiplier 0.5
    SprintLookSpeedMultiplier 0.5
    MoveSpeedMultiplier 0.8
    SwayPitchMultiplier 0.0009375
    SwayYawMultiplier 0.001875
    SupportedSwayPitchMultiplier 0.0009375
    SupportedSwayYawMultiplier 0.001875
    TimePitchMultiplier 0.15
    TimeYawMultiplier 0.05
    DispersionMultiplier 1.0
    RecoilMultiplier 1.0
    RecoilFovMultiplier 1.0
    CameraImpulseMultiplier 1.0
    FadeToBlackInZoomTransition False
    StartFadeToBlackAtTime 0.1
    FadeToBlackDuration 0.2
    StartFadeFromBlackAtTime 0.3
    FadeFromBlackDuration 0.1
    UseFovSpecialisation False
    ScreenExposureAreaScale 0.99
    OnActivateEventType ZoomLevelActivateEventType_Disable
