DataContainerAsset C7898B27-AEED-4268-8BCB-A5AA098147DD #primary instance
    $::Asset
        $::DataContainer
        Name Weapons/Common/ZoomLevels/7_0xZoom
    Data BC4F88FE-DC56-4EDB-B2C6-9ABAFD993A88
ZoomLevelData BC4F88FE-DC56-4EDB-B2C6-9ABAFD993A88
    $::DataContainer
    FieldOfView 9.9
    AllowFieldOfViewScaling False
    LookSpeedMultiplier 0.21
    SprintLookSpeedMultiplier 0.5
    MoveSpeedMultiplier 0.5
    SwayPitchMultiplier 0.00375
    SwayYawMultiplier 0.0075
    SupportedSwayPitchMultiplier 0.0075
    SupportedSwayYawMultiplier 0.015
    TimePitchMultiplier 0.15
    TimeYawMultiplier 0.05
    DispersionMultiplier 1.0
    RecoilMultiplier 1.0
    RecoilFovMultiplier -2.0
    CameraImpulseMultiplier 1.0
    FadeToBlackInZoomTransition False
    StartFadeToBlackAtTime 0.1
    FadeToBlackDuration 0.2
    StartFadeFromBlackAtTime 0.3
    FadeFromBlackDuration 0.1
    UseFovSpecialisation False
    ScreenExposureAreaScale 0.8
    OnActivateEventType ZoomLevelActivateEventType_Disable
