DataContainerAsset 3CE83633-C47D-4609-9A33-14349336B0D2 #primary instance
    $::Asset
        $::DataContainer
        Name Weapons/Common/ZoomLevels/DefaultBase
    Data B2D0DC9F-B2A0-4B50-8BA5-A56B7AF1E44B
ZoomLevelData B2D0DC9F-B2A0-4B50-8BA5-A56B7AF1E44B
    $::DataContainer
    FieldOfView 55.0
    AllowFieldOfViewScaling True
    LookSpeedMultiplier 1.0
    SprintLookSpeedMultiplier 1.0
    MoveSpeedMultiplier 1.0
    SwayPitchMultiplier 0.0
    SwayYawMultiplier 0.0
    SupportedSwayPitchMultiplier 0.0
    SupportedSwayYawMultiplier 0.0
    TimePitchMultiplier 0.1
    TimeYawMultiplier 0.03
    DispersionMultiplier 1.0
    RecoilMultiplier 1.0
    RecoilFovMultiplier 1.0
    CameraImpulseMultiplier 1.0
    FadeToBlackInZoomTransition False
    StartFadeToBlackAtTime 0.1
    FadeToBlackDuration 0.2
    StartFadeFromBlackAtTime 0.3
    FadeFromBlackDuration 0.1
    UseFovSpecialisation False
    ScreenExposureAreaScale 0.99
    OnActivateEventType ZoomLevelActivateEventType_Disable
