DecalTemplateData 8AF987D7-DE13-3505-FB7D-C070F7853997 #primary instance
    $::Asset
        $::DataContainer
        Name Decals/Impacts/Brick/Decal_Brick_HMG_01
    Size 0.25
    RandomSize 0.1
    Rotation 0.0
    RandomRotation 180.0
    ClipAngle 70.0
    ProximityRadiusFactor 0.4
    NormalOffset 0.001
    MaterialIndex 0
    SortingPriority 0
    AtlasTile::DecalAtlasTile
        TileIndexX 0.0
        TileIndexY 0.0
        TileCountX 1.0
        TileCountY 1.0
        FlipX False
        FlipY False
    Shader decals/impacts/brick/shader_decal_brick_s_01/70BEF980-553D-4AD4-B548-E106817DFF05
    Projected True
    MeshUVIndex -1
