DriverSettings F0B10CDD-2F38-64F1-D7F4-6C2EEB5925E1 #primary instance
    $::Asset
        $::DataContainer
        Name AI/DriverSettings/Tank
    MinRadius 4.0
    RadiusGrowthSpeed 0.5
    StoppingDeceleration 10.0
    SteeringSensitivity 50.0
    MaxBrakeOutput 0.0
    SquareBrakeOutput True
    LookAheadTime 1.3
    AngleDiffForNoSlowdown 20.0
    AngleDiffForFullSlowdown 80.0
    VelocityAtFullSlowdown 0.0
    VelDiffAtMinAcc 0.1
    VelDiffAtMaxAcc 7.0
    UseSquareVelDiffCurveAcc False
    MinAcc 0.0
    MaxAcc 8.0
    VelDiffAtMinDec 0.1
    VelDiffAtMaxDec 5.0
    UseSquareVelDiffCurveDec True
    MinDec 0.0
    MaxDec 25.0
    AccDiffAtMinThrottleVelocityAccelerating 1.0
    AccDiffAtMaxThrottleVelocityAccelerating 20.0
    UseSquareAccDiffCurveAcc False
    MinThrottleVelocityAccelerating 0.2
    MaxThrottleVelocityAccelerating 1.0
    AccDiffAtMinThrottleVelocityDecelerating 3.0
    AccDiffAtMaxThrottleVelocityDecelerating 10.0
    UseSquareAccDiffCurveDec False
    MinThrottleVelocityDecelerating 0.1
    MaxThrottleVelocityDecelerating 5.0
    UsePIDRegulator False
    P 0.1
    I 0.01
    D 0.01
    MaxError 100.0
    MaxSumError 100.0
    MaxPTerm 1.0
    MaxITerm 1.0
    MaxYawToApplySprint 0.3
