SoldierWeaponUnlockAsset 93CC5226-4381-7458-509E-B2D6F4498164 #primary instance
    $::UnlockAssetBase
        $::Asset
            $::DataContainer
            Name Weapons/M40A5/U_M40A5
        UnlockUserData *nullGuid*
        DebugUnlockId U_M40A5
        Identifier 3448533950
        UnlockScore 0
        AutoAvailable False
        NextLevelUnlockAsset *nullGuid*
        HiddenInProgression False
        AvailableForPlayer UnlockAvailability_All
    Weapon weapons/m40a5/m40a5/A1970F1A-62F5-81EE-317E-F0A4FAB4C538
    Extra *nullGuid*
    WeaponIdentifier 882653972
