UnlockAsset 8A923743-2F34-4A81-B764-48BC53946C46 #primary instance
    $::UnlockAssetBase
        $::Asset
            $::DataContainer
            Name UI/Art/Persistence/Camo/U_CAMO10
        UnlockUserData *nullGuid*
        DebugUnlockId U_CAMO10
        Identifier 559232066
        UnlockScore 0
        AutoAvailable False
        NextLevelUnlockAsset *nullGuid*
        HiddenInProgression False
        AvailableForPlayer UnlockAvailability_All
    LinkedTo::array
        member persistence/unlocks/soldiers/visual/mp/us/mp_us_assault_appearance_veteran/54BB9662-08EA-46FB-8A0E-A0843D33CBA7
        member persistence/unlocks/soldiers/visual/mp/us/mp_us_engi_appearance_veteran/95AC5AEC-0527-4A85-9D4A-6E7636A22E86
        member persistence/unlocks/soldiers/visual/mp/us/mp_us_recon_appearance_veteran/6FF252A1-AD68-4B7C-BFFF-9E17B1DE34BC
        member persistence/unlocks/soldiers/visual/mp/us/mp_us_support_appearance_veteran/929BCB32-40BE-446A-9FC6-490184747FA4
        member persistence/unlocks/soldiers/visual/mp/ru/mp_ru_assault_appearance_veteran/32ED771F-3FBB-480C-9976-2FEA7925D623
        member persistence/unlocks/soldiers/visual/mp/ru/mp_ru_engi_appearance_veteran/A29A5F4C-3B7A-4C58-B533-EA2BD80A2E75
        member persistence/unlocks/soldiers/visual/mp/ru/mp_ru_recon_appearance_veteran/214A6DBF-0E7F-4076-B3D6-57110CFEE885
        member persistence/unlocks/soldiers/visual/mp/ru/mp_ru_support_appearance_veteran/D9D13680-837A-422C-8410-E6EAEE8BEB72
