DecalTemplateData BAAB040E-02A9-464F-A453-02CD91F8FF2F #primary instance
    $::Asset
        $::DataContainer
        Name Decals/Impacts/Scorch/Decal_ScorchMark_S
    Size 0.12
    RandomSize 0.05
    Rotation 0.0
    RandomRotation 180.0
    ClipAngle 70.0
    ProximityRadiusFactor 0.2
    NormalOffset 0.001
    MaterialIndex 0
    SortingPriority 1
    AtlasTile::DecalAtlasTile
        TileIndexX 0.0
        TileIndexY 0.0
        TileCountX 1.0
        TileCountY 1.0
        FlipX False
        FlipY False
    Shader decals/impacts/scorch/shader_decal_scorchmark_l_01/D7C50C56-9AE9-0B8E-9589-3F166E6A2B75
    Projected True
    MeshUVIndex -1
