UITeamSupportTagCompData 97C619F1-A2E3-DC55-02F2-BA61BA3CD36B #primary instance
    $::UI3dIconCompData
        $::UIComponentData
            $::Asset
                $::DataContainer
                Name UI/UIComponents/UITeamSupportTagComp
            ShortName *nullString*
            DataSources::array
                member WidgetPath
            UpdatesPerSecond -1
            UpdateType UIUpdateType_Always
        IconSize 30.0
        SnapIcons False
        CircularSnap True
        OnlyShowSnapped False
        SnapSafeZone 0.95
        SnapCenterYOffset 0.15
        ShrinkSnapAnimationTime 0.5
        TrackerHudRadiusX 0.85
        TrackerHudRadiusY 0.6
        MaxLookAtThreshold 10000.0
        MinLookAtThreshold 10000.0
        MinLookAtThresholdDistance 10000.0
        DrawDistance 10.0
        FadeDistance 0.0
        FadeEndDistance 10.0
        MinimumDrawDistance 0.0
        MinimumFadeDistance 0.0
        MaxFarFade 0.0
        MaxCloseFade 0.0
        ShowLabelRange 0.0
        TeamRadioDistance 30.0
        ScaleDistance 10.0
        MaxScaleMod 0.5
        MaxXRotation 0.0
        MaxYRotation 0.0
        HorisontalOffset 0.0
        VerticalOffset 0.4
        PixelOffset::Vec2
            x 0.0
            y 0.0
        VerticalOffsetScaleFactor 0.0
        VerticalOffsetMaxOffset 1000.0
        ShowMedicHealthThreshold 0.3
        ShowEngineerArmorThreshold 0.3
        ShowSupportAmmoThreshold 0.3
        MaxTagUpdatesPerFrame 1
